	[psi_1, psi2]	[ssx,ssy, esx,esy]	sampled prefrence	ER
859	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[3. 2. 2. 2.]
 [6. 8. 7. 8.]]"	[0, 1]	[-90.51653221580564, -2.95205]
860	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[1. 2. 2. 2.]
 [6. 8. 7. 8.]]"	[0, 1]	[-88.44353466890624, -2.95205]
861	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[5. 5. 6. 3.]
 [2. 8. 0. 7.]]"	[0, 1]	[-94.7207190257387, -8.120039036640847]
862	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[7. 3. 6. 3.]
 [2. 8. 4. 9.]]"	[0, 1]	[-93.7247130297377, 0.13442892426130015]
863	"[[2. 1. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 9. 8. 9.]
 [0. 6. 0. 8.]]"	[0, 1]	[-2.0, -0.9237600007025009]
864	"[[0. 1. 0. 0. 0. 2.]
 [1. 0. 0. 0. 0. 2.]]"	"[[7. 9. 8. 9.]
 [1. 8. 3. 9.]]"	[0, 1]	[-4.0, 0.13029449533703286]
865	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [9. 4. 8. 5.]]"	[1, 0]	[-0.9500000000000028, -2.9013475512499554]
866	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [1. 1. 1. 2.]]"	[1, 0]	[-0.9500000000000028, -1.9645564653310998]
867	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 8. 8. 9.]
 [8. 4. 9. 4.]]"	[1, 0]	[0.09794999999999732, -2.0537963008000375]
868	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[2. 1. 2. 2.]
 [0. 3. 1. 4.]]"	[0, 1]	[-87.44153766790625, -1.9170184391065916]
869	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[2. 1. 2. 2.]
 [0. 3. 1. 3.]]"	[0, 1]	[-88.44153766790625, -1.9635199853164025]
870	"[[2. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[9. 9. 8. 9.]
 [2. 9. 1. 8.]]"	[1, 0]	[-2.0, -9.085485202534983]
871	"[[0. 1. 0. 0. 0. 2.]
 [1. 0. 0. 0. 0. 2.]]"	"[[9. 7. 8. 9.]
 [0. 7. 2. 8.]]"	[0, 1]	[-2.9000500000000002, -0.879960963359153]
872	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[4. 3. 2. 2.]
 [1. 1. 3. 0.]]"	[0, 1]	[-91.59568398809785, -0.9665534663310922]
873	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[1. 0. 2. 2.]
 [2. 7. 2. 8.]]"	[0, 1]	[-86.3706900341081, -4.957279280974262]
874	"[[0. 0. 1. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[2. 6. 3. 6.]
 [9. 0. 7. 0.]]"	[0, 1]	[-92.63732030840626, -3.9820668631698624]
875	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[2. 4. 3. 6.]
 [9. 0. 9. 0.]]"	[0, 1]	[-88.56108430510974, -3.0]
876	"[[2. 1. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 9. 8. 9.]
 [6. 8. 7. 8.]]"	[1, 0]	[-1.0, -2.95205]
877	"[[0. 1. 0. 0. 0. 2.]
 [2. 0. 0. 0. 0. 1.]]"	"[[6. 9. 8. 9.]
 [6. 8. 7. 8.]]"	[1, 0]	[-1.9500000000000028, -2.95205]
878	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[8. 4. 6. 3.]
 [4. 1. 2. 0.]]"	[0, 1]	[-95.81129180205, -5.110436085567301]
879	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 4. 6. 3.]
 [4. 1. 2. 0.]]"	[0, 1]	[-93.63632030840625, -6.110436085567301]
880	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[2. 3. 2. 2.]
 [3. 1. 3. 0.]]"	[0, 1]	[-89.51753221580563, -3.036478015683592]
881	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 2. 0.]]"	"[[2. 4. 2. 2.]
 [3. 1. 3. 2.]]"	[0, 1]	[-88.56108430510974, -2.9614834677841984]
882	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[9. 8. 8. 9.]
 [0. 3. 1. 4.]]"	[1, 0]	[-0.9500000000000028, -1.9170184391065916]
883	"[[0. 1. 0. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 8. 8. 9.]
 [0. 3. 1. 3.]]"	[1, 0]	[-0.9020500000000027, -1.9635199853164025]
884	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[4. 8. 3. 6.]
 [2. 1. 3. 1.]]"	[0, 1]	[-96.80929280205001, -0.963521984316408]
885	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[1. 5. 3. 6.]
 [2. 1. 3. 3.]]"	[0, 1]	[-88.56307930910876, -0.8854493637964964]
886	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[9. 8. 8. 9.]
 [9. 8. 9. 9.]]"	[1, 0]	[-0.9500000000000028, -1.9500000000000028]
887	"[[1. 1. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 3.]]"	"[[9. 7. 8. 9.]
 [9. 8. 8. 8.]]"	[1, 0]	[-1.9000500000000002, -5.950000000000003]
888	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[5. 3. 6. 3.]
 [8. 1. 7. 1.]]"	[0, 1]	[-91.63632030840625, -2.942424557841477]
889	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 2. 0.]]"	"[[5. 3. 6. 3.]
 [8. 1. 8. 2.]]"	[0, 1]	[-92.63632030840625, -3.8600168564950295]
890	"[[2. 1. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[9. 8. 8. 9.]
 [3. 9. 2. 7.]]"	[1, 0]	[-0.9500000000000028, -10.131294495337038]
891	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 9. 8. 9.]
 [2. 6. 1. 6.]]"	[1, 0]	[0.09794999999999732, -4.036640319308404]
892	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 6. 3. 6.]
 [9. 2. 9. 0.]]"	[0, 1]	[-96.80929280205001, -5.084295381510216]
893	"[[1. 0. 1. 0. 0. 1.]
 [3. 0. 0. 0. 2. 0.]]"	"[[4. 8. 3. 6.]
 [9. 2. 8. 2.]]"	[0, 1]	[-97.80929280205001, -5.944312238005246]
894	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 3. 6. 3.]
 [1. 9. 0. 7.]]"	[0, 1]	[-91.63632030840625, -7.120039036640847]
895	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[5. 3. 6. 3.]
 [1. 9. 4. 9.]]"	[0, 1]	[-93.63632030840625, 0.13442892426130015]
896	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 4. 6. 3.]
 [1. 6. 2. 4.]]"	[0, 1]	[-94.67799830671296, -4.039595683988111]
897	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 2. 6. 3.]
 [3. 8. 4. 9.]]"	[0, 1]	[-90.55608830410975, -0.9093355592479497]
898	"[[2. 1. 0. 1. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[9. 9. 8. 9.]
 [5. 8. 3. 7.]]"	[1, 0]	[-1.0, -8.134428924261293]
899	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [5. 8. 3. 9.]]"	[1, 0]	[-2.950000000000003, -4.04585514795]
900	"[[2. 1. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [2. 8. 0. 7.]]"	[1, 0]	[-0.9500000000000028, -8.120039036640847]
901	"[[1. 1. 0. 0. 0. 1.]
 [2. 0. 0. 0. 0. 1.]]"	"[[6. 9. 8. 9.]
 [2. 8. 4. 9.]]"	[0, 1]	[-0.9500000000000028, 0.13442892426130015]
902	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[9. 8. 8. 9.]
 [5. 2. 3. 1.]]"	[1, 0]	[-0.9500000000000028, -7.117668304508015]
903	"[[0. 1. 0. 0. 0. 2.]
 [3. 0. 0. 0. 1. 0.]]"	"[[6. 8. 8. 9.]
 [8. 6. 9. 6.]]"	[1, 0]	[-0.9020500000000027, -2.0509000499999956]
904	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 2. 2. 2.]
 [1. 8. 1. 7.]]"	[0, 1]	[-87.44353466890624, -4.039678998306719]
905	"[[2. 0. 1. 0. 1. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[1. 2. 2. 2.]
 [1. 8. 2. 8.]]"	[0, 1]	[-88.44353466890624, -2.958279280974267]
906	"[[2. 1. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[9. 9. 8. 9.]
 [7. 0. 5. 0.]]"	[1, 0]	[-1.0, -7.086130807257234]
907	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 1. 1. 0.]]"	"[[6. 8. 8. 9.]
 [7. 0. 8. 2.]]"	[1, 0]	[0.09794999999999732, -0.8779499933251671]
908	"[[2. 1. 0. 1. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[9. 8. 8. 9.]
 [3. 8. 1. 7.]]"	[1, 0]	[-0.9500000000000028, -10.125164200841702]
909	"[[1. 1. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 3.]]"	"[[9. 7. 8. 9.]
 [3. 9. 1. 9.]]"	[1, 0]	[-1.9000500000000002, -9.0885737763113]
910	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 6. 3. 6.]
 [7. 8. 4. 8.]]"	[0, 1]	[-96.80929280205001, -6.14070719795]
911	"[[1. 0. 1. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 7. 3. 6.]
 [6. 7. 7. 9.]]"	[0, 1]	[-97.80929280205001, -0.8551479500000028]
912	"[[2. 1. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 9. 8. 9.]
 [9. 4. 8. 5.]]"	[1, 0]	[-2.0, -2.9013475512499554]
913	"[[0. 1. 0. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[8. 8. 8. 9.]
 [3. 9. 5. 9.]]"	[0, 1]	[-4.0, -0.9072428020499999]
914	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 3. 6. 3.]
 [2. 8. 3. 8.]]"	[0, 1]	[-92.63632030840625, -2.95623551649075]
915	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[3. 2. 2. 2.]
 [0. 8. 1. 7.]]"	[0, 1]	[-90.51653221580564, -3.0]
916	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 1. 2. 2.]
 [0. 8. 2. 9.]]"	[0, 1]	[-87.44153766790625, 0.1251642008417022]
917	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[3. 2. 2. 2.]
 [5. 3. 4. 1.]]"	[0, 1]	[-90.51653221580564, -6.119788092600615]
918	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[2. 3. 2. 2.]
 [5. 3. 6. 4.]]"	[0, 1]	[-90.51753221580563, -2.911607278668548]
919	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 7. 8. 9.]
 [1. 0. 0. 1.]]"	[1, 0]	[0.09994999999999976, -3.9970069910050015]
920	"[[0. 1. 0. 0. 0. 2.]
 [2. 0. 0. 0. 0. 1.]]"	"[[7. 7. 8. 9.]
 [1. 8. 1. 9.]]"	[1, 0]	[0.09794999999999732, -1.958279280974267]
921	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 3.]]"	"[[1. 0. 2. 2.]
 [9. 7. 8. 7.]]"	[0, 1]	[-86.3706900341081, -5.950049999999997]
922	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 4. 3. 6.]
 [1. 1. 1. 2.]]"	[0, 1]	[-92.63632030840625, -1.9645564653310998]
923	"[[0. 0. 1. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 7. 3. 6.]
 [8. 4. 9. 4.]]"	[0, 1]	[-92.63931930840624, -2.0537963008000375]
924	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[5. 7. 3. 6.]
 [5. 8. 4. 8.]]"	[0, 1]	[-96.80929280205001, -5.04585514795]
925	"[[1. 0. 1. 0. 0. 1.]
 [2. 0. 0. 0. 0. 1.]]"	"[[4. 8. 3. 6.]
 [5. 8. 7. 9.]]"	[0, 1]	[-97.80929280205001, 0.14485204999999723]
926	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 4. 6. 3.]
 [8. 6. 7. 5.]]"	[0, 1]	[-94.67799830671296, -5.090758197950009]
927	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[6. 2. 6. 3.]
 [8. 6. 9. 5.]]"	[0, 1]	[-90.64230532839126, -4.0987511999500015]
928	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[3. 2. 2. 2.]
 [1. 3. 0. 3.]]"	[0, 1]	[-90.51653221580564, -4.0364800146835975]
929	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[3. 0. 2. 2.]
 [1. 3. 3. 2.]]"	[0, 1]	[-88.44153766790625, -1.9634824677841962]
930	"[[2. 1. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [5. 2. 4. 2.]]"	[1, 0]	[-0.9500000000000028, -4.039595683988104]
931	"[[2. 1. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[9. 8. 8. 9.]
 [8. 7. 7. 9.]]"	[1, 0]	[-0.9500000000000028, -3.950000000000003]
932	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 8. 3. 6.]
 [1. 5. 1. 5.]]"	[0, 1]	[-96.80929280205001, -3.0]
933	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[1. 5. 3. 6.]
 [4. 0. 4. 1.]]"	[0, 1]	[-88.56307930910876, -3.9614834677841984]
934	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[5. 3. 6. 3.]
 [3. 1. 1. 0.]]"	[0, 1]	[-91.63632030840625, -4.107325649481737]
935	"[[2. 0. 1. 0. 1. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[5. 3. 6. 3.]
 [3. 1. 4. 1.]]"	[0, 1]	[-93.63632030840625, -3.9614834677841984]
936	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 3. 2. 2.]
 [5. 9. 6. 9.]]"	[0, 1]	[-91.59568398809785, -1.9520499999999998]
937	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[1. 0. 2. 2.]
 [0. 4. 1. 6.]]"	[0, 1]	[-86.3706900341081, 0.1096902755280098]
938	"[[1. 1. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[9. 8. 8. 9.]
 [4. 0. 5. 1.]]"	[0, 1]	[-2.950000000000003, -1.9219273794800884]
939	"[[0. 1. 0. 0. 0. 2.]
 [0. 0. 0. 0. 0. 3.]]"	"[[7. 7. 8. 9.]
 [3. 0. 4. 1.]]"	[1, 0]	[0.09794999999999732, -2.9250054521006064]
940	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 1. 0. 1.]]"	"[[5. 3. 6. 3.]
 [5. 3. 4. 1.]]"	[0, 1]	[-92.63632030840625, -5.119788092600615]
941	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[6. 2. 6. 3.]
 [5. 3. 7. 4.]]"	[0, 1]	[-91.64230532839126, -1.8688397981583051]
942	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 3. 2. 2.]
 [9. 9. 9. 8.]]"	[0, 1]	[-91.59568398809785, -3.049999999999997]
943	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 3. 2. 2.]
 [6. 0. 7. 0.]]"	[0, 1]	[-89.51753221580563, -3.960397336976932]
944	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [1. 9. 1. 6.]]"	[1, 0]	[-0.9500000000000028, -7.120039036640847]
945	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[2. 1. 2. 2.]
 [0. 6. 0. 5.]]"	[0, 1]	[-87.44153766790625, -4.036563079309104]
946	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[1. 4. 2. 2.]
 [8. 0. 9. 2.]]"	[0, 1]	[-87.52651622979965, -0.8751198886035425]
947	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[4. 3. 2. 2.]
 [6. 7. 3. 7.]]"	[0, 1]	[-91.59568398809785, -7.134428924261293]
948	"[[2. 0. 1. 0. 1. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 3. 2. 2.]
 [6. 7. 8. 8.]]"	[0, 1]	[-90.51753221580563, -0.8551479500000028]
949	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 6. 3. 6.]
 [0. 3. 0. 5.]]"	[0, 1]	[-96.80929280205001, -2.9170184391065916]
950	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[2. 4. 3. 6.]
 [5. 5. 4. 7.]]"	[0, 1]	[-88.56108430510974, -1.9562355164907572]
951	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 5. 6. 3.]
 [9. 4. 7. 3.]]"	[0, 1]	[-94.7207190257387, -6.032782471512256]
952	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[4. 4. 6. 3.]
 [1. 5. 2. 7.]]"	[0, 1]	[-93.63632030840625, 0.11491899760421376]
953	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [4. 9. 4. 6.]]"	[1, 0]	[-0.9500000000000028, -6.134428924261293]
954	"[[1. 1. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[9. 7. 8. 9.]
 [4. 9. 3. 7.]]"	[1, 0]	[-1.9000500000000002, -8.134428924261293]
955	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[4. 3. 2. 2.]
 [8. 1. 8. 0.]]"	[0, 1]	[-91.59568398809785, -3.040584729886241]
956	"[[2. 0. 1. 0. 1. 0.]
 [1. 0. 0. 1. 0. 2.]]"	"[[4. 3. 2. 2.]
 [7. 5. 7. 8.]]"	[0, 1]	[-92.59568398809785, 0.13870819795000955]
957	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 2. 2. 2.]
 [0. 6. 0. 8.]]"	[0, 1]	[-88.44353466890624, -0.9237600007025009]
958	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[0. 2. 2. 2.]
 [1. 8. 3. 9.]]"	[0, 1]	[-86.40809113423734, 0.13029449533703286]
959	"[[1. 1. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 9. 8. 9.]
 [3. 0. 4. 2.]]"	[1, 0]	[0.09794999999999732, -0.8854493637964964]
960	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 5. 6. 3.]
 [3. 1. 1. 0.]]"	[0, 1]	[-95.81129180205, -5.107325649481737]
961	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[4. 4. 6. 3.]
 [3. 1. 2. 1.]]"	[0, 1]	[-93.63632030840625, -3.036478015683592]
962	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 7. 8. 9.]
 [6. 6. 5. 6.]]"	[1, 0]	[0.09994999999999976, -4.04480929280205]
963	"[[0. 1. 0. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 8. 8. 9.]
 [6. 6. 6. 7.]]"	[1, 0]	[-0.9020500000000027, -1.9541448520499998]
964	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[5. 5. 6. 3.]
 [5. 1. 5. 2.]]"	[0, 1]	[-94.7207190257387, -1.9604043160118962]
965	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 3. 6. 3.]
 [2. 4. 1. 6.]]"	[0, 1]	[-93.7247130297377, -1.9604043160118891]
966	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 1. 0. 1.]]"	"[[3. 2. 2. 2.]
 [8. 7. 7. 5.]]"	[0, 1]	[-90.51653221580564, -7.1387081979500095]
967	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[0. 1. 2. 2.]
 [7. 5. 9. 6.]]"	[0, 1]	[-85.3736830431031, 0.039858147950013745]
968	"[[2. 1. 0. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[9. 9. 8. 9.]
 [2. 4. 0. 5.]]"	[1, 0]	[-2.0, -3.034568075310098]
969	"[[0. 1. 0. 0. 0. 2.]
 [3. 0. 0. 0. 1. 0.]]"	"[[8. 8. 8. 9.]
 [0. 2. 0. 1.]]"	[1, 0]	[-4.0, -5.034408091134239]
970	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 9. 8. 9.]
 [5. 7. 4. 5.]]"	[1, 0]	[-3.0, -6.131294495337038]
971	"[[0. 1. 0. 0. 0. 2.]
 [2. 0. 0. 0. 0. 1.]]"	"[[7. 7. 8. 9.]
 [3. 9. 4. 8.]]"	[1, 0]	[0.09794999999999732, -4.0]
972	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [9. 6. 9. 5.]]"	[1, 0]	[-0.9500000000000028, -5.047851149950006]
973	"[[1. 1. 0. 0. 0. 1.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [4. 9. 4. 8.]]"	[1, 0]	[-2.950000000000003, -5.04585514795]
974	"[[2. 1. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [3. 7. 1. 6.]]"	[1, 0]	[-0.9500000000000028, -9.120039036640854]
975	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[9. 8. 8. 9.]
 [7. 2. 8. 0.]]"	[1, 0]	[-0.9500000000000028, -3.138843160361475]
976	"[[0. 1. 0. 0. 0. 2.]
 [3. 0. 0. 0. 2. 0.]]"	"[[7. 8. 8. 9.]
 [7. 2. 8. 2.]]"	[1, 0]	[-1.9500000000000028, -3.958275286970263]
977	"[[2. 1. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [2. 8. 2. 5.]]"	[1, 0]	[-0.9500000000000028, -8.122036037640854]
978	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[2. 1. 2. 2.]
 [8. 2. 7. 0.]]"	[0, 1]	[-87.44153766790625, -4.122050006674833]
979	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[2. 1. 2. 2.]
 [8. 2. 8. 3.]]"	[0, 1]	[-88.44153766790625, -2.95723251948975]
980	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 3. 6. 3.]
 [5. 8. 4. 6.]]"	[0, 1]	[-91.63632030840625, -6.134428924261293]
981	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 1. 6. 3.]
 [0. 7. 0. 9.]]"	[0, 1]	[-91.64230532839126, -0.9216816823848859]
982	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 6. 3. 5.]
 [7. 0. 7. 0.]]"	[0, 1]	[-89.60067998909786, -3.0]
983	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[1. 6. 3. 5.]
 [7. 0. 7. 2.]]"	[0, 1]	[-89.60067998909786, -0.919674706354904]
984	"[[0. 0. 1. 0. 0. 2.]
 [3. 0. 0. 1. 0. 0.]]"	"[[1. 7. 3. 6.]
 [1. 4. 1. 3.]]"	[0, 1]	[-92.63931930840624, -1.0465015462098108]
985	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 5. 3. 6.]
 [1. 4. 1. 3.]]"	[0, 1]	[-88.56307930910876, -2.046501546209811]
986	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 6. 3. 6.]
 [3. 9. 2. 8.]]"	[0, 1]	[-90.63732030840626, -8.0885737763113]
987	"[[0. 0. 1. 0. 0. 2.]
 [0. 0. 0. 0. 0. 3.]]"	"[[2. 6. 3. 6.]
 [3. 9. 2. 9.]]"	[0, 1]	[-92.63732030840626, -7.04480929280205]
988	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 4. 6. 3.]
 [0. 9. 0. 7.]]"	[0, 1]	[-94.67799830671296, -5.078318317615114]
